Date,Temperature,Dew_Point,Humidity,Wind_Speed,Pressure,Precipitation,EVI,NDVI,SPI
2017-01-01,29,23,74,20,29.83,0.0,0.2025,0.3091,
2017-01-02,29,22,73,21,29.85,0.0,0.1478,0.22,
2017-01-03,29,23,75,23,29.85,0.1,0.127,0.1814,-1.5784293141693004
2017-01-04,29,23,76,21,29.83,0.0,0.123,0.1738,-1.5784293141693004
2017-01-05,28,22,76,21,29.8,0.0,0.1282,0.1862,-1.5784293141693004
2017-01-06,28,23,77,21,29.85,0.3,0.1717,0.312,-1.2682301741345685
2017-01-07,28,23,77,19,29.88,0.1,0.2391,0.4362,-1.1827502600518889
2017-01-08,28,23,77,21,29.88,0.3,0.1522,0.3565,-0.9861871475117808
2017-01-09,28,23,77,18,29.88,0.2,0.2858,0.5635,-1.044662987525751
2017-01-10,28,22,77,20,29.83,0.0,0.4225,0.699,-1.104662066919162
2017-01-11,28,23,76,19,29.83,0.0,0.3702,0.6181,-1.3916461841874024
2017-01-12,28,23,78,19,29.85,0.0,0.2374,0.3769,-1.9589017015412997
2017-01-13,28,23,78,21,29.88,0.2,0.1443,0.2299,-1.3916461841874024
2017-01-14,28,22,75,25,29.85,0.0,0.1285,0.1859,-1.3916461841874024
2017-01-15,27,22,77,22,29.83,0.0,0.1173,0.1765,-1.3916461841874024
2017-01-16,28,22,75,23,29.83,0.2,0.1023,0.1836,-1.3916461841874024
2017-01-17,27,22,76,23,29.83,0.0,0.0983,0.2137,-1.3916461841874024
2017-01-18,28,22,74,21,29.83,0.0,0.1923,0.3455,-1.3916461841874024
2017-01-19,27,22,76,15,29.83,0.3,0.2637,0.5023,-1.2682301741345685
2017-01-20,26,22,80,10,29.85,0.4,0.3883,0.6517,-0.9807262879131847
2017-01-21,26,22,82,18,29.94,0.1,0.4406,0.6813,-0.9342244595707373
2017-01-22,26,22,81,17,29.97,0.1,0.3904,0.6481,-1.044662987525751
2017-01-23,26,22,80,18,29.91,0.2,0.3317,0.5927,-1.1914145231979727
2017-01-24,27,22,79,20,29.88,0.9,0.2278,0.3857,-0.7682475262582608
2017-01-25,27,22,78,21,29.91,0.1,0.1426,0.2419,-0.7682475262582608
2017-01-26,27,22,77,21,29.91,0.1,0.0879,0.1813,-0.8049715668725279
2017-01-27,27,22,78,20,29.88,0.1,0.1033,0.1856,-1.2899682849771301
2017-01-28,27,22,77,22,29.85,0.3,0.0996,0.1911,-1.1118620288116445
2017-01-29,27,22,78,19,29.85,0.3,0.1087,0.2077,-0.9861871475117808
2017-01-30,27,22,78,22,29.85,0.1,0.1438,0.2718,-0.9861871475117808
2017-01-31,27,22,79,21,29.88,0.6,0.2327,0.4334,-0.8444828081773562
2017-02-01,28,22,76,20,29.85,0.0,0.2906,0.5957,-0.9807262879131847
2017-02-02,27,22,78,21,29.85,0.2,0.4131,0.6231,-0.9293260230142881
2017-02-03,27,22,79,19,29.88,0.2,0.3677,0.6507,-1.1827502600518889
2017-02-04,27,23,79,19,29.88,0.2,0.2607,0.4667,-1.044662987525751
2017-02-05,27,23,79,19,29.85,0.1,0.1677,0.2735,-1.1118620288116445
2017-02-06,28,23,78,22,29.85,0.0,0.1366,0.2082,-1.2789499137472018
